date,open,high,low,close,volume
2024-07-24 06:30:00+00:00,48.43,48.79,42.25,42.9,90534814.0
2024-07-25 06:30:00+00:00,41.51,43.7,37.39,39.78,143325853.0
2024-07-26 06:30:00+00:00,42.24,43.0,40.71,41.92,82759209.0
2024-07-29 06:30:00+00:00,43.365,45.0,41.26,41.81,80788361.0
2024-07-30 06:30:00+00:00,42.38,42.67,36.7801,37.24,108595996.0
2024-07-31 06:30:00+00:00,42.3,44.76,41.42,44.39,96880504.0
2024-08-01 06:30:00+00:00,42.05,43.42,33.42,35.0,163864389.0
2024-08-02 06:30:00+00:00,30.56,31.59,28.14,29.34,198233860.0
2024-08-05 06:30:00+00:00,23.52,30.15,23.5,27.89,220042207.0
2024-08-06 06:30:00+00:00,28.6,30.8,27.17,28.58,137309508.0
2024-08-07 06:30:00+00:00,31.32,31.94,25.94,26.22,146256506.0
2024-08-08 06:30:00+00:00,28.57,31.595,26.87,31.46,149988623.0
2024-08-09 06:30:00+00:00,30.71,31.79,29.58,31.01,96949816.0
2024-08-12 06:30:00+00:00,31.105,32.59,30.23,31.41,89135109.0
2024-08-13 06:30:00+00:00,32.66,35.43,32.185,35.28,103380007.0
2024-08-14 06:30:00+00:00,36.18,36.64,33.27,35.05,112421599.0
2024-08-15 06:30:00+00:00,37.35,40.47,36.86,39.92,107522670.0
2024-08-16 06:30:00+00:00,38.79,40.2301,38.07,39.73,82364587.0
2024-08-19 06:30:00+00:00,39.28,41.75,37.89,41.6,77684164.0
2024-08-20 06:30:00+00:00,41.05,41.92,39.1,40.09,83644558.0
2024-08-21 06:30:00+00:00,40.75,42.36,40.33,41.73,83611474.0
2024-08-22 06:30:00+00:00,42.51,42.88,37.11,37.51,107889890.0
2024-08-23 06:30:00+00:00,39.16,41.21,38.593,40.4,87128058.0
2024-08-26 06:30:00+00:00,39.75,40.29,36.91,37.37,86602951.0
2024-08-27 06:30:00+00:00,36.51,38.9699,35.52,38.49,74033311.0
2024-08-28 06:30:00+00:00,38.09,38.86,35.2905,36.6,101998473.0
2024-08-29 06:30:00+00:00,37.06,38.93,35.625,36.19,97333238.0
2024-08-30 06:30:00+00:00,38.68,39.22,37.06,38.79,85280835.0
2024-09-03 06:30:00+00:00,36.8,36.8091,29.4,30.07,140077858.0
2024-09-04 06:30:00+00:00,29.07,31.69,28.73,30.3,108759945.0
2024-09-05 06:30:00+00:00,29.05,31.2002,28.83,29.75,100075882.0
2024-09-06 06:30:00+00:00,29.11,29.17,25.5,25.96,156147578.0
2024-09-09 06:30:00+00:00,27.18,27.7291,26.15,27.43,84474535.0
2024-09-10 06:30:00+00:00,27.54,28.39,26.24,28.35,81557456.0
2024-09-11 06:30:00+00:00,28.89,32.42,27.08,32.22,143140937.0
2024-09-12 06:30:00+00:00,31.75,32.69,30.35,31.81,99273289.0
2024-09-13 06:30:00+00:00,32.52,33.72,32.36,33.43,78147292.0
2024-09-16 06:30:00+00:00,32.03,32.64,30.835,32.16,79670080.0
2024-09-17 06:30:00+00:00,33.31,33.56,31.36,32.16,86913739.0
2024-09-18 06:30:00+00:00,32.54,34.0,31.05,31.14,113735526.0
2024-09-19 06:30:00+00:00,34.68,36.439,33.88,35.12,123984344.0
2024-09-20 06:30:00+00:00,34.05,34.4,32.0401,33.55,108589554.0
2024-09-23 06:30:00+00:00,33.97,34.38,33.185,33.92,59731609.0
2024-09-24 06:30:00+00:00,34.84,35.7,33.58,35.07,83369640.0
